,index,point,time,gametime,ash_points,ben_points,server,game_num,point_type
0,0,1,1591158461.6042492,1591158445,1,0,1,0,2
1,1,0,1591158480.4325113,1591158445,1,1,1,0,0
2,2,1,1591158512.3547785,1591158445,2,1,0,0,0
3,3,0,1591158513.3222864,1591158445,2,2,0,0,0
4,4,1,1591158521.9377227,1591158445,3,2,1,0,0
5,5,0,1591158528.1299906,1591158445,3,3,1,0,0
6,6,1,1591158543.7983265,1591158445,4,3,0,0,0
7,7,1,1591158544.3927438,1591158445,5,3,0,0,0
8,8,0,1591158553.890168,1591158445,5,4,1,0,0
9,9,1,1591158566.2984293,1591158445,6,4,1,0,0
10,10,1,1591158575.3985043,1591158445,7,4,0,0,0
11,11,0,1591158604.478914,1591158445,7,5,0,0,0
12,12,0,1591158607.050811,1591158445,7,6,1,0,0
13,13,0,1591158620.3062923,1591158445,7,7,1,0,0
14,14,0,1591158629.222442,1591158445,7,8,0,0,0
15,15,0,1591158640.022354,1591158445,7,9,0,0,0
16,16,0,1591158648.8696628,1591158445,7,10,1,0,0
17,17,1,1591158653.856811,1591158445,8,10,1,0,0
18,18,1,1591158661.2597992,1591158445,9,10,0,0,0
19,19,0,1591158673.3926253,1591158445,9,11,0,0,0
20,20,0,1591158686.9509344,1591158445,9,12,1,0,0
21,21,0,1591158698.0412776,1591158445,9,13,1,0,0
22,22,1,1591158708.1678157,1591158445,10,13,0,0,0
23,23,0,1591158723.68597,1591158445,10,14,0,0,0
24,24,1,1591158736.7431598,1591158445,11,14,1,0,0
25,25,0,1591158747.2821069,1591158445,11,15,1,0,0
26,26,1,1591158763.4867156,1591158445,12,15,0,0,0
27,27,1,1591158776.1885514,1591158445,13,15,0,0,0
28,28,0,1591158783.25956,1591158445,13,16,1,0,0
29,29,0,1591158794.979083,1591158445,13,17,1,0,0
30,30,0,1591158809.5788448,1591158445,13,18,0,0,0
31,31,1,1591158815.9274375,1591158445,14,18,0,0,0
32,32,1,1591158830.7429483,1591158445,15,18,1,0,0
33,33,0,1591158833.5674064,1591158445,15,19,1,0,0
34,34,0,1591158849.5451334,1591158445,15,20,0,0,0
35,35,1,1591158861.9074967,1591158445,16,20,0,0,0
36,36,1,1591158872.5106354,1591158445,17,20,1,0,0
37,37,1,1591158886.4807594,1591158445,18,20,1,0,0
38,38,0,1591158900.3987608,1591158445,18,21,0,0,0
39,0,0,1591158985.457336,1591158945,0,1,1,1,1
40,1,0,1591158986.7652245,1591158945,0,2,1,1,0
41,2,1,1591158993.2895439,1591158945,1,2,0,1,0
42,3,0,1591159005.3672345,1591158945,1,3,0,1,0
43,4,1,1591159021.4496017,1591158945,2,3,1,1,0
44,5,1,1591159022.2600667,1591158945,3,3,1,1,0
45,6,0,1591159045.318289,1591158945,3,4,0,1,0
46,7,1,1591159046.6092412,1591158945,4,4,0,1,0
47,8,0,1591159071.7807562,1591158945,4,5,1,1,0
48,9,0,1591159072.6764524,1591158945,4,6,1,1,0
49,10,0,1591159096.2537751,1591158945,4,7,0,1,0
50,11,0,1591159096.824784,1591158945,4,8,0,1,0
51,12,1,1591159104.7047632,1591158945,5,8,1,1,0
52,13,1,1591159122.0668278,1591158945,6,8,1,1,0
53,14,1,1591159136.7776752,1591158945,7,8,0,1,0
54,15,0,1591159143.2919726,1591158945,7,9,0,1,0
55,16,0,1591159151.907589,1591158945,7,10,1,1,0
56,17,1,1591159164.1197896,1591158945,8,10,1,1,0
57,18,1,1591159182.6108322,1591158945,9,10,0,1,0
58,19,1,1591159183.5873547,1591158945,10,10,0,1,0
59,20,1,1591159200.375501,1591158945,11,10,1,1,0
60,21,1,1591159213.1382754,1591158945,12,10,1,1,0
61,22,1,1591159228.7892458,1591158945,13,10,0,1,0
62,23,0,1591159229.6801882,1591158945,13,11,0,1,0
63,24,0,1591159237.5491636,1591158945,13,12,1,1,0
64,25,0,1591159247.5890977,1591158945,13,13,1,1,0
65,26,0,1591159260.2801845,1591158945,13,14,0,1,0
66,27,0,1591159268.309435,1591158945,13,15,0,1,0
67,28,0,1591159280.5042307,1591158945,13,16,1,1,0
68,29,1,1591159292.8599641,1591158945,14,16,1,1,0
69,30,0,1591159302.7298224,1591158945,14,17,0,1,0
70,31,1,1591159309.7996733,1591158945,15,17,0,1,0
71,32,1,1591159327.860121,1591158945,16,17,1,1,0
72,33,1,1591159328.5248747,1591158945,17,17,1,1,0
73,34,0,1591159335.9889889,1591158945,17,18,0,1,0
74,35,1,1591159345.5409393,1591158945,18,18,0,1,0
75,36,0,1591159361.7883198,1591158945,18,19,1,1,0
76,37,0,1591159376.2354827,1591158945,18,20,1,1,0
77,38,0,1591159385.558511,1591158945,18,21,0,1,0
78,0,1,1591159410.1812727,1591159394,1,0,0,2,1
79,1,0,1591159410.8264153,1591159394,1,1,0,2,0
80,2,1,1591159423.6853983,1591159394,2,1,1,2,0
81,3,0,1591159430.9267783,1591159394,2,2,1,2,0
82,4,1,1591159441.789306,1591159394,3,2,0,2,0
83,5,1,1591159475.0647738,1591159394,4,2,0,2,0
84,6,1,1591159475.7270699,1591159394,5,2,1,2,0
85,7,0,1591159476.6130717,1591159394,5,3,1,2,0
86,8,0,1591159484.5727198,1591159394,5,4,0,2,0
87,9,1,1591159494.4822705,1591159394,6,4,0,2,0
88,10,1,1591159502.4483936,1591159394,7,4,1,2,0
89,11,1,1591159509.6176176,1591159394,8,4,1,2,0
90,12,0,1591159516.1732347,1591159394,8,5,0,2,0
91,13,1,1591159525.1699314,1591159394,9,5,0,2,0
92,14,0,1591159532.408091,1591159394,9,6,1,2,0
93,15,0,1591159546.0830777,1591159394,9,7,1,2,0
94,16,1,1591159565.6307647,1591159394,10,7,0,2,0
95,17,0,1591159566.4435987,1591159394,10,8,0,2,0
96,18,0,1591159573.3638835,1591159394,10,9,1,2,0
97,19,1,1591159583.1662424,1591159394,11,9,1,2,0
98,20,1,1591159595.5396187,1591159394,12,9,0,2,0
99,21,1,1591159612.5047157,1591159394,13,9,0,2,0
100,22,1,1591159622.0650854,1591159394,14,9,1,2,0
101,23,1,1591159649.4552333,1591159394,15,9,1,2,0
102,24,0,1591159651.3124516,1591159394,15,10,0,2,0
103,25,0,1591159653.5696383,1591159394,15,11,0,2,0
104,26,0,1591159661.6961033,1591159394,15,12,1,2,0
105,27,0,1591159672.3202069,1591159394,15,13,1,2,0
106,28,0,1591159681.000325,1591159394,15,14,0,2,0
107,29,0,1591159687.9158638,1591159394,15,15,0,2,0
108,30,0,1591159701.3324344,1591159394,15,16,1,2,0
109,31,0,1591159723.9780807,1591159394,15,17,1,2,0
110,32,0,1591159735.6267543,1591159394,15,18,0,2,0
111,33,1,1591159742.4669845,1591159394,16,18,0,2,0
112,34,0,1591159759.0285628,1591159394,16,19,1,2,0
113,35,1,1591159770.1864326,1591159394,17,19,1,2,0
114,36,1,1591159783.7542243,1591159394,18,19,0,2,0
115,37,1,1591159792.5020537,1591159394,19,19,0,2,0
116,38,0,1591159804.9345624,1591159394,19,20,1,2,0
117,39,0,1591159817.547182,1591159394,19,21,1,2,0
118,0,0,1591159864.4631464,1591159837,0,1,0,3,1
119,1,0,1591159872.9890327,1591159837,0,2,0,3,0
120,2,0,1591159884.406761,1591159837,0,3,1,3,0
121,3,1,1591159892.1309524,1591159837,1,3,1,3,0
122,4,0,1591159900.083855,1591159837,1,4,0,3,0
123,5,0,1591159912.539244,1591159837,1,5,0,3,0
124,6,1,1591159920.899582,1591159837,2,5,1,3,0
125,7,1,1591159933.694555,1591159837,3,5,1,3,0
126,8,1,1591159951.5596116,1591159837,4,5,0,3,0
127,9,1,1591159958.78728,1591159837,5,5,0,3,0
128,10,0,1591159969.100768,1591159837,5,6,1,3,0
129,11,0,1591159975.3973947,1591159837,5,7,1,3,0
130,12,0,1591159985.2146983,1591159837,5,8,0,3,0
131,13,0,1591159996.1806805,1591159837,5,9,0,3,0
132,14,1,1591160011.3160164,1591159837,6,9,1,3,0
133,15,0,1591160025.4830098,1591159837,6,10,1,3,0
134,16,1,1591160036.6832845,1591159837,7,10,0,3,0
135,17,0,1591160048.173629,1591159837,7,11,0,3,0
136,18,1,1591160054.9186494,1591159837,8,11,1,3,0
137,19,0,1591160061.4309056,1591159837,8,12,1,3,0
138,20,0,1591160070.6837945,1591159837,8,13,0,3,0
139,21,1,1591160077.7517898,1591159837,9,13,0,3,0
140,22,1,1591160085.9465148,1591159837,10,13,1,3,0
141,23,0,1591160106.1967027,1591159837,10,14,1,3,0
142,24,0,1591160117.9194698,1591159837,10,15,0,3,0
143,25,0,1591160130.2122808,1591159837,10,16,0,3,0
144,26,1,1591160143.4601262,1591159837,11,16,1,3,0
145,27,0,1591160149.7324896,1591159837,11,17,1,3,0
146,28,1,1591160165.4557004,1591159837,12,17,0,3,0
147,29,1,1591160171.9535918,1591159837,13,17,0,3,0
148,30,0,1591160188.4909918,1591159837,13,18,1,3,0
149,31,0,1591160198.2010152,1591159837,13,19,1,3,0
150,32,1,1591160209.0339189,1591159837,14,19,0,3,0
151,33,1,1591160216.9087756,1591159837,15,19,0,3,0
152,34,1,1591160231.3627052,1591159837,16,19,1,3,0
153,35,1,1591160246.5545692,1591159837,17,19,1,3,0
154,36,1,1591160258.7668278,1591159837,18,19,0,3,0
155,37,1,1591160280.0521126,1591159837,19,19,0,3,0
156,38,0,1591160292.5019462,1591159837,19,20,1,3,0
157,39,0,1591160307.6898327,1591159837,19,21,1,3,0
158,0,1,1591160324.7483609,1591160316,1,0,0,4,1
159,1,1,1591160332.0729268,1591160316,2,0,0,4,0
160,2,0,1591160348.655841,1591160316,2,1,1,4,0
161,3,1,1591160351.250498,1591160316,3,1,1,4,0
162,4,1,1591160374.5519996,1591160316,4,1,0,4,0
163,5,1,1591160375.126248,1591160316,5,1,0,4,0
164,6,0,1591160381.8965726,1591160316,5,2,1,4,0
165,7,1,1591160390.6065197,1591160316,6,2,1,4,0
166,8,1,1591160402.586578,1591160316,7,2,0,4,0
167,9,1,1591160411.4342902,1591160316,8,2,0,4,0
168,10,1,1591160421.3369353,1591160316,9,2,1,4,0
169,11,1,1591160471.1652591,1591160316,10,2,1,4,0
170,12,1,1591160477.6827338,1591160316,11,2,0,4,0
171,13,1,1591160489.408294,1591160316,12,2,0,4,0
172,14,1,1591160496.5626118,1591160316,13,2,1,4,0
173,15,0,1591160511.2904773,1591160316,13,3,1,4,0
174,16,1,1591160528.0935833,1591160316,14,3,0,4,0
